Date,Close,Chg,Net Capital Inflow,Extra Large Single Net Inflow,Large Order Net Inflow,Net inflow of intermediate orders,Net inflow of small orders
2022-04-19,38.84,-0.0321,-698000000.0,-130000000.0,-568000000.0,318000000.0,380000000.0
2022-04-20,37.84,-0.0257,-859000000.0,-589000000.0,-269000000.0,355000000.0,504000000.0
2022-04-21,38.02,0.0048,-92623400.0,-113000000.0,19974700.0,97524700.0,-4901300.0
2022-04-22,39.24,0.0321,272000000.0,-10824500.0,283000000.0,-23430800.0,-248000000.0
2022-04-25,35.57,-0.0935,-1112000000.0,-575000000.0,-538000000.0,164000000.0,948000000.0
2022-04-26,35.15,-0.0118,148000000.0,96651600.0,50970600.0,-209000000.0,61559400.0
2022-04-27,34.78,-0.0105,-265000000.0,-59717200.0,-205000000.0,-148000000.0,413000000.0
2022-04-28,36.36,0.0454,527000000.0,332000000.0,195000000.0,-110000000.0,-417000000.0
2022-04-29,36.67,0.0085,237000000.0,130000000.0,107000000.0,-272000000.0,34725800.0
2022-05-05,36.00,-0.0183,-133000000.0,37092400.0,-170000000.0,-246000000.0,379000000.0
2022-05-06,34.65,-0.0375,-614000000.0,-259000000.0,-355000000.0,55201400.0,559000000.0
2022-05-09,33.21,-0.0416,-369000000.0,-256000000.0,-113000000.0,-208000000.0,578000000.0
2022-05-10,33.72,0.0154,328000000.0,182000000.0,146000000.0,-291000000.0,-37321200.0
2022-05-11,33.95,0.0068,452000000.0,327000000.0,126000000.0,-364000000.0,-87632100.0
2022-05-12,33.35,-0.0177,-210000000.0,-244000000.0,34023800.0,-64159100.0,274000000.0
2022-05-13,33.89,0.0162,76091200.0,-4261800.0,80353000.0,154000000.0,-230000000.0
2022-05-16,33.63,-0.0077,35328200.0,-39254600.0,74582900.0,-165000000.0,130000000.0
2022-05-17,35.34,0.0508,529000000.0,389000000.0,140000000.0,-70492300.0,-458000000.0
2022-05-18,35.24,-0.0028,-15884300.0,-25157700.0,9273400.0,93436700.0,-77552400.0
2022-05-19,34.77,-0.0133,-89634900.0,-28008900.0,-61625900.0,75430500.0,14204400.0
2022-05-20,36.70,0.0555,642000000.0,469000000.0,172000000.0,-40656900.0,-601000000.0
2022-05-23,36.23,-0.0128,-162000000.0,-83582400.0,-78462400.0,50382100.0,112000000.0
2022-05-24,35.64,-0.0163,-263000000.0,-49316900.0,-214000000.0,37764200.0,225000000.0
2022-05-25,35.52,-0.0034,-94650000.0,-34865100.0,-59784900.0,76547600.0,18102400.0
2022-05-26,35.17,-0.0099,-211000000.0,-103000000.0,-108000000.0,-61843200.0,273000000.0
2022-05-27,35.86,0.0196,51114300.0,-38671600.0,89785900.0,71045000.0,-122000000.0
2022-05-30,35.81,-0.0014,-18641200.0,18303400.0,-36944600.0,-36891500.0,55532700.0
2022-05-31,36.43,0.0173,200000000.0,55986100.0,144000000.0,-78280700.0,-122000000.0
2022-06-01,36.43,0.0,16846400.0,-55029900.0,71876300.0,1295700.0,-18142100.0
2022-06-02,35.66,-0.0211,-417000000.0,-70889300.0,-346000000.0,27560900.0,390000000.0
2022-06-06,35.71,0.0014,-130000000.0,-92020500.0,-38137400.0,-86740100.0,217000000.0
2022-06-07,36.09,0.0106,7703000.0,70155200.0,-62452200.0,8961800.0,-16664800.0
2022-06-08,36.27,0.005,190000000.0,49373600.0,141000000.0,-159000000.0,-31383300.0
2022-06-09,37.03,0.021,423000000.0,389000000.0,34183700.0,-172000000.0,-251000000.0
2022-06-10,36.86,-0.0046,165000000.0,-149000000.0,314000000.0,-108000000.0,-57250300.0
2022-06-13,35.31,-0.0421,-725000000.0,-718000000.0,-7191000.0,112000000.0,613000000.0
2022-06-14,35.98,0.019,-102000000.0,-26423300.0,-75605400.0,67281400.0,34747300.0
2022-06-15,37.22,0.0345,513000000.0,281000000.0,233000000.0,-16545700.0,-497000000.0
2022-06-16,36.70,-0.014,-234000000.0,-115000000.0,-119000000.0,166000000.0,67789000.0
2022-06-17,36.59,-0.003,-116000000.0,-80567400.0,-35516300.0,81926900.0,34156700.0
2022-06-20,36.44,-0.0041,-253000000.0,14641900.0,-267000000.0,72164100.0,180000000.0
2022-06-21,37.07,0.0173,74280300.0,-7757700.0,82038000.0,-53162000.0,-21118400.0
2022-06-22,36.05,-0.0275,-555000000.0,-179000000.0,-376000000.0,202000000.0,354000000.0
2022-06-23,36.88,0.023,158000000.0,140000000.0,18284200.0,-76766400.0,-81320300.0
2022-06-24,36.94,0.0016,-297000000.0,-235000000.0,-61399700.0,108000000.0,189000000.0
2022-06-27,37.99,0.0284,515000000.0,388000000.0,128000000.0,-230000000.0,-285000000.0
2022-06-28,38.02,0.0008,-84375700.0,-97190900.0,12815200.0,103000000.0,-18734900.0
2022-06-29,37.75,-0.0071,-160000000.0,-79869000.0,-80301900.0,150000000.0,10068300.0
2022-06-30,38.94,0.0315,408000000.0,92762800.0,315000000.0,-200000000.0,-208000000.0
2022-07-01,38.12,-0.0211,-350000000.0,-140000000.0,-210000000.0,89901500.0,260000000.0
2022-07-04,37.79,-0.0087,-257000000.0,-329000000.0,71489100.0,74141900.0,183000000.0
2022-07-05,37.72,-0.0019,-87395200.0,61388800.0,-149000000.0,-81398400.0,169000000.0
2022-07-06,36.54,-0.0313,-865000000.0,-783000000.0,-82098700.0,324000000.0,541000000.0
2022-07-07,36.49,-0.0014,-244000000.0,-81611300.0,-162000000.0,68868400.0,175000000.0
2022-07-08,36.55,0.0016,-150000000.0,-100000000.0,-49798500.0,-17727600.0,168000000.0
2022-07-11,36.18,-0.0101,-196000000.0,-128000000.0,-68587800.0,159000000.0,37361000.0
2022-07-12,36.04,-0.0039,-163000000.0,43186400.0,-207000000.0,77434900.0,86048000.0
2022-07-13,34.64,-0.0388,-1279000000.0,-837000000.0,-442000000.0,258000000.0,1021000000.0
2022-07-14,33.22,-0.041,-1251000000.0,-584000000.0,-667000000.0,131000000.0,1120000000.0
2022-07-15,33.13,-0.0027,-139000000.0,66259700.0,-205000000.0,-290000000.0,428000000.0
2022-07-18,33.89,0.0229,-110000000.0,-232000000.0,122000000.0,183000000.0,-72655800.0
2022-07-19,33.97,0.0024,-104000000.0,-23050200.0,-80710500.0,168000000.0,-64363200.0
2022-07-20,34.11,0.0041,-32564900.0,-10120000.0,-22445000.0,35846500.0,-3281600.0
2022-07-21,33.72,-0.0114,-155000000.0,-29089900.0,-126000000.0,69945600.0,85267600.0
2022-07-22,33.85,0.0039,-177000000.0,-193000000.0,15946900.0,180000000.0,-3449200.0
2022-07-25,34.11,0.0077,47227400.0,3472600.0,43754800.0,53229400.0,-100000000.0
2022-07-26,34.59,0.0141,117000000.0,57306800.0,59653900.0,26977300.0,-144000000.0
2022-07-27,34.31,-0.0081,-330000000.0,-197000000.0,-134000000.0,100000000.0,231000000.0
2022-07-28,34.04,-0.0079,-310000000.0,-171000000.0,-139000000.0,64651000.0,245000000.0
2022-07-29,33.33,-0.0209,-336000000.0,-111000000.0,-225000000.0,110000000.0,226000000.0
2022-08-01,32.78,-0.0165,-418000000.0,-186000000.0,-231000000.0,-7644600.0,425000000.0
2022-08-02,32.17,-0.0186,-450000000.0,-309000000.0,-141000000.0,93212700.0,357000000.0
2022-08-03,31.32,-0.0264,-714000000.0,-540000000.0,-174000000.0,160000000.0,554000000.0
2022-08-04,31.92,0.0192,46620300.0,-67761100.0,114000000.0,8562300.0,-55182600.0
2022-08-05,32.56,0.0201,77597300.0,-55623200.0,133000000.0,-120000000.0,42309200.0
2022-08-08,32.17,-0.012,-285000000.0,-116000000.0,-169000000.0,92810100.0,192000000.0
2022-08-09,31.86,-0.0096,-331000000.0,-167000000.0,-163000000.0,34733400.0,296000000.0
2022-08-10,31.41,-0.0141,-441000000.0,-227000000.0,-214000000.0,75729200.0,366000000.0
2022-08-11,32.62,0.0385,376000000.0,289000000.0,87128300.0,-128000000.0,-248000000.0
2022-08-12,32.63,0.0003,10539600.0,1565400.0,8974100.0,5245200.0,-15784800.0
2022-08-15,31.99,-0.0196,-267000000.0,-111000000.0,-156000000.0,126000000.0,141000000.0
2022-08-16,32.17,0.0056,56918600.0,206000000.0,-149000000.0,-71085900.0,14167300.0
2022-08-17,32.50,0.0103,131000000.0,52099600.0,78913700.0,-28160000.0,-103000000.0
2022-08-18,31.98,-0.016,-248000000.0,-136000000.0,-112000000.0,-2784900.0,251000000.0
2022-08-19,32.11,0.0041,131000000.0,58531000.0,72676500.0,-4954300.0,-126000000.0
2022-08-22,31.88,-0.0072,-77277100.0,-112000000.0,35165700.0,1971100.0,75306000.0
2022-08-23,31.36,-0.0163,-409000000.0,-279000000.0,-130000000.0,48155500.0,361000000.0
2022-08-24,31.10,-0.0083,-221000000.0,-228000000.0,7133100.0,-19278200.0,240000000.0
2022-08-25,31.95,0.0273,168000000.0,76032100.0,91786000.0,-14435100.0,-153000000.0
2022-08-26,31.96,0.0003,200000000.0,64849100.0,135000000.0,-94065300.0,-106000000.0
2022-08-29,31.54,-0.0131,-114000000.0,-7786400.0,-106000000.0,53909800.0,59636000.0
2022-08-30,32.05,0.0162,84974300.0,20566800.0,64407500.0,-21026600.0,-63947700.0
2022-08-31,33.31,0.0393,777000000.0,198000000.0,579000000.0,-215000000.0,-561000000.0
2022-09-01,32.76,-0.0165,-147000000.0,-100000000.0,-46810100.0,63574500.0,83463300.0
2022-09-02,32.58,-0.0055,-97350500.0,-14868300.0,-82482200.0,42794900.0,54555600.0
2022-09-05,32.49,-0.0028,-73281700.0,-116000000.0,43084900.0,-4366100.0,77647800.0
2022-09-06,31.88,-0.0188,-244000000.0,-131000000.0,-113000000.0,-53196000.0,297000000.0
2022-09-07,31.64,-0.0075,-269000000.0,-355000000.0,85404600.0,24507300.0,245000000.0
2022-09-08,31.56,-0.0025,11880300.0,32682500.0,-20802200.0,-28428100.0,16547800.0
2022-09-09,32.76,0.038,904000000.0,687000000.0,217000000.0,-449000000.0,-456000000.0
2022-09-13,33.61,0.0259,141000000.0,213000000.0,-71745600.0,-537000000.0,397000000.0
2022-09-14,33.12,-0.0146,-119000000.0,27827200.0,-147000000.0,42977700.0,76384800.0
2022-09-15,34.27,0.0347,555000000.0,457000000.0,97874700.0,-106000000.0,-449000000.0
2022-09-16,33.21,-0.0309,-9723800.0,-152000000.0,142000000.0,-19081500.0,28805300.0
2022-09-19,33.35,0.0042,123000000.0,88789500.0,34601100.0,-33807700.0,-89583000.0
2022-09-20,32.80,-0.0165,-82416200.0,-86704600.0,4288400.0,18424600.0,63991600.0
2022-09-21,32.67,-0.004,48899100.0,-4837400.0,53736500.0,-128000000.0,78848700.0
2022-09-22,32.43,-0.0073,-67151500.0,-37405200.0,-29746300.0,-46611200.0,114000000.0
2022-09-23,32.62,0.0059,-79409300.0,-4866600.0,-74542700.0,101000000.0,-21488800.0
2022-09-26,32.21,-0.0126,-169000000.0,-41325300.0,-128000000.0,73655900.0,95411500.0
2022-09-27,32.16,-0.0016,-77123900.0,-68381400.0,-8742600.0,18235900.0,58888000.0
2022-09-28,31.93,-0.0072,61084800.0,-28397800.0,89482500.0,-64082100.0,2997300.0
2022-09-29,31.41,-0.0163,-289000000.0,-204000000.0,-84577100.0,104000000.0,185000000.0
2022-09-30,31.91,0.0159,-37005000.0,-41103600.0,4098600.0,114000000.0,-76778100.0
2022-10-10,30.06,-0.058,-502000000.0,-65065800.0,-437000000.0,161000000.0,341000000.0
2022-10-11,29.66,-0.0133,-171000000.0,-149000000.0,-21267600.0,61863800.0,109000000.0
2022-10-12,29.21,-0.0152,-263000000.0,-47304700.0,-215000000.0,-19326500.0,282000000.0
2022-10-13,28.15,-0.0363,-306000000.0,-205000000.0,-101000000.0,-128000000.0,434000000.0
2022-10-14,29.34,0.0423,354000000.0,239000000.0,115000000.0,-214000000.0,-140000000.0
2022-10-17,29.28,-0.002,-30829300.0,-22016100.0,-8813200.0,-47529400.0,78358700.0
2022-10-18,29.06,-0.0075,-226000000.0,-186000000.0,-39261800.0,61093100.0,164000000.0
2022-10-19,28.52,-0.0186,-194000000.0,-27721600.0,-166000000.0,88954400.0,105000000.0
2022-10-20,28.33,-0.0067,-356000000.0,-91429500.0,-264000000.0,131000000.0,224000000.0
2022-10-21,27.84,-0.0173,-54831200.0,-21424200.0,-33407000.0,-90388000.0,145000000.0
2022-10-24,26.28,-0.056,-548000000.0,-353000000.0,-195000000.0,-15042200.0,563000000.0
2022-10-25,26.45,0.0065,-258000000.0,-27138100.0,-230000000.0,114000000.0,144000000.0
2022-10-26,26.19,-0.0098,-48114700.0,12349000.0,-60463700.0,-136000000.0,184000000.0
2022-10-27,26.20,0.0004,95684300.0,27656600.0,68027700.0,-95478700.0,-205500.0
2022-10-28,25.44,-0.029,-228000000.0,-127000000.0,-101000000.0,10981700.0,217000000.0
2022-10-31,25.08,-0.0142,38288200.0,166000000.0,-128000000.0,-122000000.0,84186500.0
2022-11-01,26.45,0.0546,420000000.0,275000000.0,145000000.0,-207000000.0,-214000000.0
2022-11-02,26.68,0.0087,120000000.0,102000000.0,17927700.0,-182000000.0,61990800.0
2022-11-03,26.31,-0.0139,-91791200.0,-134000000.0,41750200.0,-18809900.0,111000000.0
2022-11-04,27.34,0.0391,512000000.0,426000000.0,85819700.0,-219000000.0,-293000000.0
2022-11-07,27.42,0.0029,-18294200.0,-64437500.0,46143300.0,-49578700.0,67872900.0
2022-11-08,27.41,-0.0004,-173000000.0,-123000000.0,-50351500.0,90084900.0,83329600.0
2022-11-09,27.44,0.0011,73163100.0,-10457700.0,83620800.0,-68667400.0,-4495700.0
2022-11-10,27.45,0.0004,-126000000.0,-74727900.0,-51702100.0,67694700.0,58735300.0
2022-11-11,29.50,0.0747,882000000.0,617000000.0,265000000.0,-221000000.0,-661000000.0
2022-11-14,31.40,0.0644,172000000.0,128000000.0,44326600.0,50336300.0,-222000000.0
2022-11-15,31.54,0.0045,231000000.0,79993300.0,151000000.0,-70062800.0,-161000000.0
2022-11-16,31.64,0.0032,179000000.0,65157900.0,114000000.0,-51431100.0,-127000000.0
2022-11-17,30.57,-0.0338,-78921400.0,9850700.0,-88772100.0,-61303900.0,140000000.0
2022-11-18,30.33,-0.0079,-97088800.0,20027000.0,-117000000.0,-86137100.0,183000000.0
2022-11-21,30.13,-0.0066,-111000000.0,-126000000.0,14634000.0,20460000.0,90548900.0
